,Unnamed: 0,Energy,Error,Method,Architecture
78,98,39429.0723661,32.0451636108,FlexiBO+RF-No Cost,BERT-SQuAD
79,57,72367.9202463,23.0303465983,Ratio-FlexiBO+GP,BERT-SQuAD
80,58,70948.9588659,25.2506280403,Ratio-FlexiBO+GP,BERT-SQuAD
81,59,57900.3177311,26.2968011367,Ratio-FlexiBO+GP,BERT-SQuAD
82,60,56091.6118048,27.4372308513,Ratio-FlexiBO+GP,BERT-SQuAD
83,61,45434.5577526,28.957017856,Ratio-FlexiBO+GP,BERT-SQuAD
84,62,40265.5873408,29.099289123,Ratio-FlexiBO+GP,BERT-SQuAD
85,63,39087.1753072,31.1744839659,Ratio-FlexiBO+GP,BERT-SQuAD
86,64,65517.4179041,21.6163527847,Ratio-FlexiBO+RF,BERT-SQuAD
87,65,60107.9366207,22.933382401,Ratio-FlexiBO+RF,BERT-SQuAD
88,66,62444.1341168,22.9426280926,Ratio-FlexiBO+RF,BERT-SQuAD
89,67,62036.7560136,24.1672406841,Ratio-FlexiBO+RF,BERT-SQuAD
90,68,55625.4825282,24.1913279704,Ratio-FlexiBO+RF,BERT-SQuAD
91,69,53180.9674769,24.8949098541,Ratio-FlexiBO+RF,BERT-SQuAD
92,70,49572.6054313,28.2736091147,Ratio-FlexiBO+RF,BERT-SQuAD
93,71,49332.4058178,29.539776642,Ratio-FlexiBO+RF,BERT-SQuAD
94,72,48343.0248139,31.7135756578,Ratio-FlexiBO+RF,BERT-SQuAD
95,73,46280.7518741,32.6328523084,Ratio-FlexiBO+RF,BERT-SQuAD
96,74,44934.1703818,32.7745300773,Ratio-FlexiBO+RF,BERT-SQuAD
97,75,43605.8164555,33.8750030543,Ratio-FlexiBO+RF,BERT-SQuAD
98,76,41570.4234529,34.9953005899,Ratio-FlexiBO+RF,BERT-SQuAD
99,76,80476.689408,17.0064571451,PESMO-DEC,BERT-SQuAD
100,76,78885.8083248,22.0961365298,PESMO-DEC,BERT-SQuAD
101,76,73058.8377649,25.7642429942,PESMO-DEC,BERT-SQuAD
102,76,66390.2328911,27.0693490162,PESMO-DEC,BERT-SQuAD
103,76,53597.3683941,29.6103673714,PESMO-DEC,BERT-SQuAD
104,76,46004.0623368,35.3449056179,PESMO-DEC,BERT-SQuAD
105,76,45878.043265,35.3851489534,PESMO-DEC,BERT-SQuAD
106,76,42925.0526248,35.4868949304,PESMO-DEC,BERT-SQuAD
107,76,30378.6837333,38.4364519282,PESMO-DEC,BERT-SQuAD
108,76,88456.5812116,24.7293473172,CA-MOBO,BERT-SQuAD
109,76,75396.3174487,25.1396641194,CA-MOBO,BERT-SQuAD
110,76,64668.3316103,25.2814466009,CA-MOBO,BERT-SQuAD
111,76,58921.0594123,27.9261996055,CA-MOBO,BERT-SQuAD
112,76,53344.6180108,28.7189624615,CA-MOBO,BERT-SQuAD
113,76,49573.4658487,31.1212043756,CA-MOBO,BERT-SQuAD
114,76,49433.1747859,35.3078430293,CA-MOBO,BERT-SQuAD
115,76,45983.0424544,35.9722802133,CA-MOBO,BERT-SQuAD
